spawning_year,state,total,DD
1993,NSW,3652,1000
1994,NSW,3324,1000
1995,NSW,4234,1000
1996,NSW,3733,1000
1997,NSW,2591,1000
1998,NSW,5166,1000
1999,NSW,5166,1000
2000,NSW,5620,1000
2001,NSW,1913,1000
2002,NSW,2787,1000
2003,NSW,2199,1000
2004,NSW,2404,1000
2005,NSW,2858,1000
2006,NSW,3791,1000
2007,NSW,2818,1000
2008,NSW,4370,1000
2009,NSW,1627,1000
2010,NSW,1995,1000
2011,NSW,2381,1000
2012,NSW,5126,1000
2013,NSW,4274,1000
2014,NSW,2152,1000
2015,NSW,4137,1000
2016,NSW,2554,1000
2017,NSW,2892,1000
2018,NSW,2456,1000
