spawning_year,state,total,DD
1993,NSW,4629,800
1994,NSW,5356,800
1995,NSW,6481,800
1996,NSW,5479,800
1997,NSW,5304,800
1998,NSW,8240,800
1999,NSW,8639,800
2000,NSW,7199,800
2001,NSW,4152,800
2002,NSW,4690,800
2003,NSW,3831,800
2004,NSW,4670,800
2005,NSW,3072,800
2006,NSW,3863,800
2007,NSW,3275,800
2008,NSW,8408,800
2009,NSW,3279,800
2010,NSW,4251,800
2011,NSW,5764,800
2012,NSW,7205,800
2013,NSW,7413,800
2014,NSW,3467,800
2015,NSW,8539,800
2016,NSW,5029,800
2017,NSW,6107,800
2018,NSW,5636,800
