spawning_year,state,total,DD
1993,NSW,699,1400
1994,NSW,1445,1400
1995,NSW,1610,1400
1996,NSW,1269,1400
1997,NSW,1588,1400
1998,NSW,2227,1400
1999,NSW,1369,1400
2000,NSW,1525,1400
2001,NSW,1128,1400
2002,NSW,1068,1400
2003,NSW,1084,1400
2004,NSW,1838,1400
2005,NSW,1312,1400
2006,NSW,2262,1400
2007,NSW,2171,1400
2008,NSW,1146,1400
2009,NSW,342,1400
2010,NSW,1333,1400
2011,NSW,634,1400
2012,NSW,1730,1400
2013,NSW,1754,1400
2014,NSW,753,1400
2015,NSW,1357,1400
2016,NSW,1691,1400
2017,NSW,1268,1400
2018,NSW,865,1400
