h,lon,lat,time,ocean_zone
15.000000953674316,150.73049364620718,-23.047803309212867,43200,2
15.000012397766113,150.73049364620718,-23.02112157953267,43200,2
15.000000953674316,150.77093731306942,-23.10115090764548,43200,2
15.00001335144043,150.77093731306942,-23.074479753490373,43200,2
15.000097274780273,150.77093731306942,-23.047803309212867,43200,2
15.000486373901367,150.77093731306942,-23.02112157953267,43200,2
15.00000286102295,150.811380979939,-23.127816766933826,43200,2
15.000043869018555,150.811380979939,-23.10115090764548,43200,2
15.000329971313477,150.811380979939,-23.074479753490373,43200,2
15.001639366149902,150.811380979939,-23.047803309212867,43200,2
15.00609302520752,150.811380979939,-23.02112157953267,43200,2
15.000000953674316,150.85182464679954,-23.181132582019906,43200,2
15.000015258789063,150.85182464679954,-23.154477326625166,43200,2
15.000138282775879,150.85182464679954,-23.127816766933826,43200,2
15.000865936279297,150.85182464679954,-23.10115090764548,43200,2
15.004021644592285,150.85182464679954,-23.074479753490373,43200,2
15.014578819274902,150.85182464679954,-23.047803309212867,43200,2
15.042981147766113,150.85182464679954,-23.02112157953267,43200,2
15.000012397766113,150.8922683136627,-23.181132582019906,43200,2
15.000187873840332,150.8922683136627,-23.154477326625166,43200,2
15.001433372497559,150.8922683136627,-23.127816766933826,43200,2
15.007240295410156,150.8922683136627,-23.10115090764548,43200,2
15.027146339416504,150.8922683136627,-23.074479753490373,43200,2
15.080892562866211,150.8922683136627,-23.047803309212867,43200,2
15.200745582580566,150.8922683136627,-23.02112157953267,43200,2
15.00000286102295,150.9327119805309,-23.20778252840105,43200,2
15.000106811523437,150.9327119805309,-23.181132582019906,43200,2
15.001245498657227,150.9327119805309,-23.154477326625166,43200,2
15.008119583129883,150.9327119805309,-23.127816766933826,43200,2
15.035770416259766,150.9327119805309,-23.10115090764548,43200,2
15.117493629455566,150.9327119805309,-23.074479753490373,43200,2
15.307181358337402,150.9327119805309,-23.047803309212867,43200,2
15.671364784240723,150.9327119805309,-23.02112157953267,43200,2
15.000000953674316,150.97315564739222,-23.287700466388415,43200,2
15.00001335144043,150.97315564739222,-23.261066475276486,43200,2
15.00008487701416,150.97315564739222,-23.234427161049492,43200,2
15.000360488891602,150.97315564739222,-23.20778252840105,43200,2
15.00151252746582,150.97315564739222,-23.181132582019906,43200,2
15.007438659667969,150.97315564739222,-23.154477326625166,43200,2
15.034228324890137,150.97315564739222,-23.127816766933826,43200,2
15.12602424621582,150.97315564739222,-23.10115090764548,43200,2
15.365358352661133,150.97315564739222,-23.074479753490373,43200,2
15.858569145202637,150.97315564739222,-23.047803309212867,43200,2
16.69730854034424,150.97315564739222,-23.02112157953267,43200,2
15.000000953674316,151.01359931425523,-23.447392365170746,43200,2
15.000016212463379,151.01359931425523,-23.42079041110693,43200,2
