lon,lat,ocean_zone
145.39192962008966,-15.249361648164198,1
145.39192962008966,-15.221387255320039,1
145.39192962008966,-15.19340914561238,1
145.39192962008966,-15.165427325218149,1
145.39192962008966,-15.137441800319289,1
145.39192962008966,-15.109452577105163,1
145.39192962008966,-15.081459661757394,1
145.39192962008966,-15.053463060487172,1
145.43237328694917,-15.445077807805651,1
145.43237328694917,-15.417129605643503,1
145.43237328694917,-15.389177643484297,1
145.43237328694917,-15.361221927482731,1
145.43237328694917,-15.333262463791849,1
145.43237328694917,-15.305299258564816,1
145.43237328694917,-15.277332317968689,1
145.43237328694917,-15.249361648164198,1
145.43237328694917,-15.221387255320039,1
145.43237328694917,-15.19340914561238,1
145.43237328694917,-15.165427325218149,1
145.43237328694917,-15.137441800319289,1
145.43237328694917,-15.109452577105163,1
145.43237328694917,-15.081459661757394,1
145.43237328694917,-15.053463060487172,1
145.47281695381992,-15.75225811847415,1
145.47281695381992,-15.724351680679318,1
145.47281695381992,-15.696441415564804,1
145.47281695381992,-15.668527329229988,1
145.47281695381992,-15.6406094277704,1
145.47281695381992,-15.61268771730549,1
145.47281695381992,-15.584762203930909,1
145.47281695381992,-15.556832893769037,1
145.47281695381992,-15.528899792954311,1
145.47281695381992,-15.500962907600906,1
145.47281695381992,-15.473022243839456,1
145.47281695381992,-15.445077807805651,1
145.47281695381992,-15.417129605643503,1
145.47281695381992,-15.389177643484297,1
145.47281695381992,-15.361221927482731,1
145.47281695381992,-15.333262463791849,1
145.47281695381992,-15.305299258564816,1
145.47281695381992,-15.277332317968689,1
145.47281695381992,-15.249361648164198,1
145.47281695381992,-15.221387255320039,1
145.47281695381992,-15.19340914561238,1
145.47281695381992,-15.165427325218149,1
145.47281695381992,-15.137441800319289,1
145.47281695381992,-15.109452577105163,1
145.47281695381992,-15.081459661757394,1
145.47281695381992,-15.053463060487172,1
145.51326062068597,-15.919616030490003,1
145.51326062068597,-15.89173268445718,1
145.51326062068597,-15.863845474601588,1
145.51326062068597,-15.835954407001921,1
145.51326062068597,-15.808059487724984,1
145.51326062068597,-15.780160722851752,1
145.51326062068597,-15.75225811847415,1
145.51326062068597,-15.724351680679318,1
145.51326062068597,-15.696441415564804,1
145.51326062068597,-15.668527329229988,1
145.51326062068597,-15.6406094277704,1
145.51326062068597,-15.61268771730549,1
145.51326062068597,-15.584762203930909,1
145.51326062068597,-15.556832893769037,1
145.51326062068597,-15.528899792954311,1
145.51326062068597,-15.500962907600906,1
145.51326062068597,-15.473022243839456,1
145.51326062068597,-15.445077807805651,1
145.51326062068597,-15.417129605643503,1
145.51326062068597,-15.389177643484297,1
145.51326062068597,-15.361221927482731,1
145.51326062068597,-15.333262463791849,1
145.51326062068597,-15.305299258564816,1
145.51326062068597,-15.277332317968689,1
145.51326062068597,-15.249361648164198,1
145.51326062068597,-15.221387255320039,1
145.51326062068597,-15.19340914561238,1
145.51326062068597,-15.165427325218149,1
145.51326062068597,-15.137441800319289,1
145.51326062068597,-15.109452577105163,1
145.51326062068597,-15.081459661757394,1
145.51326062068597,-15.053463060487172,1
145.55370428754597,-16.003242825004904,2
145.55370428754597,-15.975371106823125,1
145.55370428754597,-15.94749550663265,1
145.55370428754597,-15.919616030490003,1
145.55370428754597,-15.89173268445718,1
145.55370428754597,-15.863845474601588,1
145.55370428754597,-15.835954407001921,1
145.55370428754597,-15.808059487724984,1
145.55370428754597,-15.780160722851752,1
145.55370428754597,-15.75225811847415,1
145.55370428754597,-15.724351680679318,1
145.55370428754597,-15.696441415564804,1
145.55370428754597,-15.668527329229988,1
145.55370428754597,-15.6406094277704,1
145.55370428754597,-15.61268771730549,1
145.55370428754597,-15.584762203930909,1
145.55370428754597,-15.556832893769037,1
145.55370428754597,-15.528899792954311,1
145.55370428754597,-15.500962907600906,1
145.55370428754597,-15.473022243839456,1
145.55370428754597,-15.445077807805651,1
145.55370428754597,-15.417129605643503,1
145.55370428754597,-15.389177643484297,1
145.55370428754597,-15.361221927482731,1
145.55370428754597,-15.333262463791849,1
145.55370428754597,-15.305299258564816,1
145.55370428754597,-15.277332317968689,1
145.55370428754597,-15.249361648164198,1
145.55370428754597,-15.221387255320039,1
145.55370428754597,-15.19340914561238,1
145.59414795440668,-16.086834626972102,2
145.59414795440668,-16.05897459112323,2
145.59414795440668,-16.031110655121687,2
145.59414795440668,-16.003242825004904,2
145.59414795440668,-15.975371106823125,1
145.59414795440668,-15.94749550663265,1
145.59414795440668,-15.919616030490003,1
145.59414795440668,-15.89173268445718,1
145.59414795440668,-15.863845474601588,1
145.59414795440668,-15.835954407001921,1
145.59414795440668,-15.808059487724984,1
145.59414795440668,-15.780160722851752,1
145.59414795440668,-15.75225811847415,1
145.59414795440668,-15.724351680679318,1
145.59414795440668,-15.696441415564804,1
145.59414795440668,-15.668527329229988,1
145.59414795440668,-15.6406094277704,1
145.59414795440668,-15.61268771730549,1
145.59414795440668,-15.584762203930909,1
145.59414795440668,-15.556832893769037,1
145.59414795440668,-15.528899792954311,1
145.59414795440668,-15.500962907600906,1
145.59414795440668,-15.473022243839456,1
145.59414795440668,-15.445077807805651,1
