angle_T,area_T,depth_t,num_levels,wet,x_T,y_T,lon,lat,ocean_zone,starting_particle_depth
0,107772504.5898517,37.586492157413076,7,1,153.44999999999555,-29.350000000000133,153.4499969482422,-29.350000381469727,7,34.2180061340332
0,107772504.5898517,52.586492157413076,9,1,153.54999999999558,-29.350000000000133,153.5500030517578,-29.350000381469727,7,48.45497512817383
0,107772504.5898517,70.41820017741736,11,1,153.64999999999554,-29.350000000000133,153.64999389648437,-29.350000381469727,7,65.66938018798828
0,107772504.5898517,120,16,1,153.74999999999557,-29.350000000000133,153.75,-29.350000381469727,7,115
0,107878112.29245126,30.418200177417372,6,1,153.44999999999555,-29.25000000000013,153.4499969482422,-29.25,7,28.16938018798828
0,107878112.29245126,50,9,1,153.54999999999558,-29.25000000000013,153.5500030517578,-29.25,7,48.45497512817383
0,107878112.29245126,70.41820017741736,11,1,153.64999999999554,-29.25000000000013,153.64999389648437,-29.25,7,65.66938018798828
0,107878112.29245126,100,14,1,153.74999999999557,-29.25000000000013,153.75,-29.25,7,95
0,107983391.3796247,15.007694787128038,3,1,153.44999999999555,-29.15000000000013,153.4499969482422,-29.149999618530273,7,12.5
0,107983391.3796247,44,8,1,153.54999999999558,-29.15000000000013,153.5500030517578,-29.149999618530273,7,40.95497512817383
0,107983391.3796247,61.19369356097924,10,1,153.64999999999554,-29.15000000000013,153.64999389648437,-29.149999618530273,7,56.7180061340332
0,107983391.3796247,90.00769478712803,13,1,153.74999999999557,-29.15000000000013,153.75,-29.149999618530273,7,85.01538848876953
0,108088341.5306544,36.19369356097924,7,1,153.54999999999558,-29.05000000000013,153.5500030517578,-29.049999237060547,7,34.2180061340332
0,108088341.5306544,58,10,1,153.64999999999554,-29.05000000000013,153.64999389648437,-29.049999237060547,7,56.7180061340332
0,108088341.5306544,88,13,1,153.74999999999557,-29.05000000000013,153.75,-29.049999237060547,7,85.01538848876953
0,108192962.42585836,20.007694787128038,4,1,153.54999999999558,-28.950000000000127,153.5500030517578,-28.950000762939453,7,17.515390396118164
0,108192962.42585836,51,9,1,153.64999999999554,-28.950000000000127,153.64999389648437,-28.950000762939453,7,48.45497512817383
0,108192962.42585836,80.09120528376639,12,1,153.74999999999557,-28.950000000000127,153.75,-28.950000762939453,7,75.167022705078125
0,108297253.74653606,42.586492157413076,8,1,153.64999999999554,-28.850000000000126,153.64999389648437,-28.850000381469727,7,40.95497512817383
0,108297253.74653606,78,12,1,153.74999999999557,-28.850000000000126,153.75,-28.850000381469727,7,75.167022705078125
0,108401215.17498496,36.19369356097924,7,1,153.64999999999554,-28.750000000000124,153.64999389648437,-28.75,7,34.2180061340332
0,108401215.17498496,70.41820017741736,11,1,153.74999999999557,-28.750000000000124,153.75,-28.75,7,65.66938018798828
0,108504846.39453886,30.418200177417372,6,1,153.64999999999554,-28.650000000000123,153.64999389648437,-28.649999618530273,7,28.16938018798828
0,108504846.39453886,70.41820017741736,11,1,153.74999999999557,-28.650000000000123,153.75,-28.649999618530273,7,65.66938018798828
0,108504846.39453886,159,20,1,153.84999999999553,-28.650000000000123,153.85000610351562,-28.649999618530273,7,155
0,108608147.08951285,43,8,1,153.64999999999554,-28.55000000000012,153.64999389648437,-28.549999237060547,7,40.95497512817383
0,108608147.08951285,70.41820017741736,11,1,153.74999999999557,-28.55000000000012,153.75,-28.549999237060547,7,65.66938018798828
0,108608147.08951285,157,20,1,153.84999999999553,-28.55000000000012,153.85000610351562,-28.549999237060547,7,155
0,108711116.94524437,44,8,1,153.64999999999554,-28.45000000000012,153.64999389648437,-28.450000762939453,7,40.95497512817383
0,108711116.94524437,70.41820017741736,11,1,153.74999999999557,-28.45000000000012,153.75,-28.450000762939453,7,65.66938018798828
0,108813755.64805162,44.70497655442571,8,1,153.64999999999554,-28.35000000000012,153.64999389648437,-28.350000381469727,7,40.95497512817383
0,108813755.64805162,70.41820017741736,11,1,153.74999999999557,-28.35000000000012,153.75,-28.350000381469727,7,65.66938018798828
0,108916062.88528946,44,8,1,153.64999999999554,-28.250000000000117,153.64999389648437,-28.25,7,40.95497512817383
0,108916062.88528946,70.41820017741736,11,1,153.74999999999557,-28.250000000000117,153.75,-28.25,7,65.66938018798828
0,108916062.88528946,190,23,1,153.84999999999553,-28.250000000000117,153.85000610351562,-28.25,7,185
0,109018038.34530799,52,9,1,153.64999999999554,-28.150000000000116,153.64999389648437,-28.149999618530273,6,48.45497512817383
0,109018038.34530799,86,13,1,153.74999999999557,-28.150000000000116,153.75,-28.149999618530273,6,85.01538848876953
0,109018038.34530799,150,19,1,153.84999999999553,-28.150000000000116,153.85000610351562,-28.149999618530273,6,145
0,109119681.71748464,15.007694787128038,3,1,153.44999999999555,-28.050000000000114,153.4499969482422,-28.049999237060547,6,12.5
0,109119681.71748464,36.19369356097924,7,1,153.54999999999558,-28.050000000000114,153.5500030517578,-28.049999237060547,6,34.2180061340332
0,109119681.71748464,61.19369356097924,10,1,153.64999999999554,-28.050000000000114,153.64999389648437,-28.049999237060547,6,56.7180061340332
0,109119681.71748464,90.00769478712803,13,1,153.74999999999557,-28.050000000000114,153.75,-28.049999237060547,6,85.01538848876953
0,109119681.71748464,177,22,1,153.84999999999553,-28.050000000000114,153.85000610351562,-28.049999237060547,6,175
0,109220992.6921746,15.007694787128038,3,1,153.44999999999555,-27.950000000000113,153.4499969482422,-27.950000762939453,6,12.5
0,109220992.6921746,49.70497655442571,9,1,153.54999999999558,-27.950000000000113,153.5500030517578,-27.950000762939453,6,48.45497512817383
