Year,FIS_CPUE_all,FIS_CPUE_legal,FIS_CPUE_sublegal
2005,7.3913043478260825,4.772234273318883,2.9220779220779285
2006,4.130434782608692,3.253796095444695,1.406926406926413
2007,9.456521739130434,3.470715835141011,6.060606060606069
2008,8.369565217391301,2.8199566160520675,5.84415584415585
2009,9.239130434782602,5.422993492407816,4.220779220779228
2010,19.021739130434778,9.544468546637756,9.523809523809533
2011,10.217391304347824,7.5921908893709436,3.0303030303030383
2012,6.086956521739129,3.579175704989165,2.7056277056277125
2013,14.239130434782613,7.5921908893709436,6.7099567099567174
2014,12.06521739130434,4.3383947939262555,7.900432900432907
2015,23.586956521739122,9.110629067245128,14.069264069264076
2016,26.41304347826087,20.06507592190891,6.7099567099567174
2017,19.673913043478255,11.388286334056414,8.225108225108233
2018,19.891304347826082,11.930585683297185,8.008658008658017
