lat,lon,distance,rel_lat,rel_lon,rel_date,ParticleID,region,shelf,obs,zone7_landed
-29.149999618530273,153.64999389648438,0,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,1,Fail
-29.26826286315918,153.6374053955078,30.340679168701172,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,2,Fail
-29.471342086791992,153.61215209960938,64.561767578125,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,3,Fail
-29.524551391601562,153.59808349609375,92.80424499511719,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,4,Fail
-29.50278091430664,153.58335876464844,121.6864013671875,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,5,Fail
-29.46373176574707,153.598388671875,148.87940979003906,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,6,Fail
-29.50224494934082,153.59646606445312,176.7084503173828,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,7,Fail
-29.64974594116211,153.55746459960938,208.188232421875,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,8,Fail
-29.722179412841797,153.5318603515625,236.49099731445312,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,9,Fail
-29.695951461791992,153.5369415283203,263.2152099609375,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,10,Fail
-29.709213256835938,153.5299530029297,290.72747802734375,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,11,Fail
-29.90100860595703,153.5863800048828,325.66259765625,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,12,Fail
-30.199968338012695,153.57681274414062,366.6814880371094,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,13,Fail
-30.399667739868164,153.54525756835938,399.12896728515625,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,14,Fail
-30.717348098754883,153.6233673095703,444.23736572265625,-29.149999618530273,153.64999389648438,1993-11-02,-29.1499996185303_153.649993896484_1993-11-02_32191,NA,Fail,15,Fail
